, start_pos, target_pos
459,29205,169
460,29205,29348
461,503,4
462,503,169
463,503,29348
464,29206,4
465,29206,169
466,29206,29348
467,504,4
468,504,169
469,504,29348
470,29207,4
471,29207,169
472,29207,29348
473,505,4
474,505,169
475,505,29348
476,29208,4
477,29208,169
478,29208,29348
479,507,4
480,507,169
481,507,29348
482,29210,4
483,29210,169
484,29210,29348
485,516,4
486,516,169
487,516,29348
488,29220,4
489,29220,169
490,29220,29348
491,517,4
492,517,169
493,517,29348
494,29221,4
495,29221,169
496,29221,29348
497,518,4
498,518,169
499,518,29348
500,29222,4
501,29222,169
502,29222,29348
503,519,4
504,519,169
505,519,29348
506,29224,4
507,29224,169
508,29224,29348
509,520,4
510,520,169
511,520,29348
512,29225,4
513,29225,169
514,29225,29348
515,521,4
516,521,169
517,521,29348
518,29226,4
519,29226,169
520,29226,29348
521,522,4
522,522,169
523,522,29348
524,29227,4
525,29227,169
526,29227,29348
527,1,170
528,1,29250
529,418,170
530,418,29250
531,27606,170
532,27606,29250
533,181,170
534,181,29250
535,29053,170
536,29053,29250
537,1,171
538,1,28091
539,418,171
540,418,28091
541,27606,171
542,27606,28091
543,154,171
544,154,28091
545,29714,171
546,29714,28091
547,165,171
548,165,28091
549,29472,171
550,29472,28091
551,181,171
552,181,28091
553,29053,171
554,29053,28091
555,1,172
556,1,28471
557,418,172
558,418,28471
559,27606,172
560,27606,28471
561,163,172
562,163,28471
563,28979,172
564,28979,28471
565,165,172
566,165,28471
567,29472,172
568,29472,28471
569,181,172
570,181,28471
571,29053,172
572,29053,28471
573,183,172
574,183,28471
575,28480,172
576,28480,28471
577,204,172
578,204,28471
579,28500,172
580,28500,28471
581,1,173
582,1,28472
583,418,173
584,418,28472
585,27606,173
586,27606,28472
587,163,173
588,163,28472
589,28979,173
590,28979,28472
591,165,173
592,165,28472
593,29472,173
594,29472,28472
595,181,173
596,181,28472
597,29053,173
598,29053,28472
599,183,173
600,183,28472
601,28480,173
602,28480,28472
603,189,173
604,189,28472
605,28572,173
606,28572,28472
607,203,173
608,203,28472
609,65431,173
610,65431,28472
611,1,174
612,1,28473
613,418,174
614,418,28473
615,27606,174
616,27606,28473
617,163,174
618,163,28473
619,28979,174
620,28979,28473
621,183,174
622,183,28473
623,28480,174
624,28480,28473
625,184,174
626,184,28473
627,28482,174
628,28482,28473
629,189,174
630,189,28473
631,28572,174
632,28572,28473
633,204,174
634,204,28473
635,28500,174
636,28500,28473
637,1,175
638,1,29619
639,418,175
640,418,29619
641,27606,175
642,27606,29619
643,184,175
644,184,29619
645,28482,175
646,28482,29619
647,211,175
648,211,29619
649,29692,175
650,29692,29619
651,1,176
652,1,28561
653,418,176
654,418,28561
655,27606,176
656,27606,28561
657,165,176
658,165,28561
659,29472,176
660,29472,28561
661,181,176
662,181,28561
663,29053,176
664,29053,28561
665,183,176
666,183,28561
667,28480,176
668,28480,28561
669,204,176
670,204,28561
671,28500,176
672,28500,28561
673,1,177
674,1,29212
675,418,177
676,418,29212
677,27606,177
678,27606,29212
679,4,177
680,4,29212
681,169,177
682,169,29212
683,29348,177
684,29348,29212
685,182,177
686,182,29212
687,28364,177
688,28364,29212
689,401,177
690,401,29212
691,28260,177
692,28260,29212
693,424,177
694,424,29212
695,28308,177
696,28308,29212
697,442,177
698,442,29212
699,28348,177
700,28348,29212
701,459,177
702,459,29212
703,29376,177
704,29376,29212
